"id";"name";"description";"confirmation";"initial_payment";"billing_amount";"cycle_number";"cycle_period";"billing_limit";"trial_amount";"trial_limit";"allow_signups";"expiration_number";"expiration_period"
1;"Júnior";"<span style=""vertical-align: inherit""><span style=""vertical-align: inherit"">O plano Júnior da </span></span><strong><span style=""vertical-align: inherit""><span style=""vertical-align: inherit"">ANETI</span></span></strong><span style=""vertical-align: inherit""><span style=""vertical-align: inherit""> é projetado especialmente para profissionais da área de tecnologia da informação com até 5 anos de experiência. Com uma anuidade de apenas R$ 8,32 por mês, oferece uma série de benefícios e recursos valiosos para impulsionar sua carreira e aprimorar suas habilidades técnicas.</span></span>

<span style=""vertical-align: inherit""><span style=""vertical-align: inherit"">Ao se inscrever no plano Júnior, você terá acesso a uma ampla gama de recursos educacionais, incluindo cursos online, treinamentos, e-books e materiais de estudo atualizados. Esses recursos são desenvolvidos por especialistas em TI e abrangem uma variedade de tópicos relevantes, como desenvolvimento de software, redes, segurança cibernética, gerenciamento de projetos e muito mais.</span></span>

<strong><span style=""vertical-align: inherit""><span style=""vertical-align: inherit"">REQUISITOS </span></span></strong>
<ul>
 	<li><span style=""vertical-align: inherit""><span style=""vertical-align: inherit"">Ser profissional de T.I atuante na area</span></span></li>
 	<li><span style=""vertical-align: inherit""><span style=""vertical-align: inherit"">Ter no mínimo 1 a 5 anos de experiência em TI</span></span></li>
</ul>";"";99.9;99.9;1;"Year";0;0.0;0;1;0;"0"
2;"Pleno";"O plano Pleno da ANETI é projetado especificamente para profissionais da área de tecnologia da informação com 6 a 9 anos de experiência. Com uma anuidade de apenas R$ 9,99 por mês, este plano oferece uma série de benefícios e recursos avançados para impulsionar ainda mais sua carreira e aprimorar suas habilidades técnicas.

Ao se inscrever no plano Pleno, você terá acesso a uma ampla gama de recursos educacionais e de desenvolvimento profissional, incluindo cursos online avançados, treinamentos especializados, webinars exclusivos e materiais de estudo atualizados. Esses recursos são elaborados por especialistas renomados na área de TI e abrangem tópicos relevantes e em alta demanda, como inteligência artificial, computação em nuvem, big data, aprendizado de máquina, entre outros.

<span style=""color: #ff0000""><strong>REQUISITOS </strong></span>(Caso não cumpra os requisitos seu cadastro será negado.)
<ul>
 	<li>Ser profissional de T.I atuante na area</li>
 	<li>Ter no mínimo de 6 a 9 anos de experiência em T.I</li>
</ul>";"";119.9;119.9;1;"Year";0;0.0;0;1;0;"Month"
3;"Sênior";"O plano Sênior da ANETI é especialmente desenvolvido para profissionais da área de tecnologia da informação com mais de 10 anos de experiência. Com uma anuidade de apenas R$ 10,82 por mês, esse plano oferece uma série de benefícios exclusivos e recursos de alto nível para impulsionar sua carreira e ampliar suas habilidades técnicas.

Ao se inscrever no plano Sênior, você terá acesso a recursos educacionais e de desenvolvimento profissional avançados, incluindo cursos online especializados, treinamentos exclusivos e materiais de estudo aprofundados. Esses recursos são criados por especialistas de destaque na área de TI e abordam tópicos avançados e inovadores, como segurança cibernética avançada, arquitetura de sistemas complexos, transformação digital, liderança em TI, entre outros.

<span style=""color: #ff0000""><strong>REQUISITOS </strong></span>(Caso não cumpra os requisitos seu cadastro será negado.)
<ul>
 	<li>Ser profissional de T.I atuante na area</li>
 	<li>Ter no cima de 10 anos de experiência em T.I</li>
</ul>";"";129.9;129.9;1;"Year";0;0.0;0;1;0;"Month"
6;"Público";"A Associação Nacional de Especialistas em Tecnologia da Informação (ANETI) tem o prazer de oferecer um plano público e gratuito para estudantes da área de Tecnologia da Informação (TI) e participantes em geral. Nosso objetivo é fornecer oportunidades de aprendizado, crescimento profissional e networking para aqueles interessados em ingressar ou avançar em suas carreiras na indústria de TI.

<span style=""color: #ff0000""><strong>REQUISITOS </strong></span>(Caso não cumpra os requisitos seu cadastro será negado.)
<ul>
 	<li>Estar matriculado em qualquer curso da Area de TI, ou ser um profissional de T.I com comprovação de experiência.</li>
</ul>";"";0.0;0.0;1;"Year";0;0.0;0;1;0;"0"
7;"Diretivo";"";"";0.0;0.0;0;"0";0;0.0;0;0;0;"0"
8;"Honra";"";"";0.0;0.0;0;"0";0;0.0;0;0;0;"0"
